headline,gpt4o,labels
Chris Moyles Is Returning To Radio With A Breakfast Show On Radio X',0,1
26 Gifts For People Who'd Rather Live Between The Pages Of A Book,1,1
23 Made In America Clothing Brands You Should Know,0,1
These Photos Make The 2016 BAFTAs Look Like The Golden Age Of Hollywood,1,1
25 Sunday Sport Headlines To Uplift And Inspire,0,1
11 Other 'Harry Potter' Names You've Been Pronouncing Wrong,1,1
30 Things Girls Who Are Always Cold Understand,1,1
"OMG, Yes, You Can Totally Make Your Hair Glow-In-The-Dark Now",1,1
How Do You Stay Fit In College,0,1
Tell Us Why You Take Medication For Your Mental Health,0,1
This Web Series Is Helping Trans Teens Find Their Personal Definition Of Beauty,0,1
How Much Of A Stereotypical Person Are You,1,1
15 Sensational Ways To Eat Gnocchi This Winter,1,1
21 Things You Need If You Love Burgers Too Much,1,1
21 Wicked Ways To Trick People Into Eating The Best Candy Ever,1,1
Lego Is Now Making Extra-Padded Lego-Proof Slippers Because They Feel Your Pain,1,1
Can You Answer These Obscure 'Friends' Trivia Questions,1,1
18 Easy Ways to Become a Morning Runner Without Even Trying,1,1
44 Secret Sentences All College Students Will Understand,1,1
62 People Who Dressed As Matt Bellassai For Halloween,1,1
This Is The Hardest 'Degrassi' Quiz You\'ll Ever Take,1,1
The 19 Most Important Things That Happened At The 2016 Golden Globe Awards,0,1
This Is Why Men Can Never Find A Damn Thing,1,1
Which Hogwarts Houses Do These 'Doctor Who' Characters Belong In,1,1
Choose A Squiggle To Determine Your Current Frame Of Mind,1,1
This Korean Pop Star Can't Stop Falling On Stage During Her Performance,1,1
What Is Your Sex IQ,1,1
12 Presidential Candidates And Their Dog Twins,1,1
18 Celebrity Instagrams You Need To See This Week,1,1
26 Photos That Every Perfectionist Will Find Pleasing,1,1
Could You Actually Quit Facebook,1,1
31 Of The Funniest Moments To Ever Happen On 'Desperate Housewives',1,1
What Historical Decade Actually Matches Your Style,1,1
"41,000 Indians Have Petitioned The Censor Board For More Gender-Sensitive Ratings",0,1
David Bowie\'s Musical 'Lazarus' Showcases His Enduring Legacy,0,1
27 Sex Questions You're Too Afraid To Ask Anyone But Google,1,1
Can We Guess Your Personality Based On Your Underwear Color,1,1
Did You Prefer The Broadway Show Or The Movie,0,1
18 Differences Between Snow Days In Canada And America,1,1
15 Items Only Thirtysomethings Would Have In Their Amazon Shopping Cart,1,1
17 'Twilight Zone' Episodes To Watch If You\'ve Never Seen 'The Twilight Zone',0,1
Pocket Kittens Are Real And Here Is What You Should Know About Them,1,1
